,movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
0,Top Gun: Maverick,2022,130,8.7,78,96477,
1,Goodfellas,1990,145,8.7,90,1120516,46.84
2,The Godfather,1972,175,9.2,100,1789489,134.97
3,Avengers: Endgame,2019,181,8.4,78,1059064,858.37
4,The Shawshank Redemption,1994,142,9.3,81,2594204,28.34
5,Star Wars,1977,121,8.6,90,1326439,322.74
6,The Dark Knight,2008,152,9.0,84,2565144,534.86
7,Interstellar,2014,169,8.6,74,1736767,188.02
8,Pulp Fiction,1994,154,8.9,94,1989050,107.93
9,Avengers: Infinity War,2018,149,8.4,68,1020005,678.82
10,Inception,2010,148,8.8,74,2276312,292.58
11,The Departed,2006,151,8.5,85,1289442,132.38
12,Forrest Gump,1994,142,8.8,82,2002942,330.25
13,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1803335,315.54
14,Fight Club,1999,139,8.8,66,2042596,37.03
15,Parasite,2019,132,8.5,96,747931,53.37
16,Whiplash,2014,106,8.5,88,812189,13.09
17,Joker,2019,122,8.4,59,1198410,335.45
18,Requiem for a Dream,2000,102,8.3,68,822879,3.64
19,The Godfather: Part II,1974,202,9.0,90,1234385,57.3
20,Se7en,1995,127,8.6,65,1592127,100.13
21,Inglourious Basterds,2009,153,8.3,69,1398547,120.54
22,Gladiator,2000,155,8.5,67,1457824,187.71
23,Back to the Future,1985,116,8.5,87,1164076,210.61
24,The Silence of the Lambs,1991,118,8.6,85,1388891,130.74
25,Schindler's List,1993,195,9.0,94,1319806,96.9
26,The Matrix,1999,136,8.7,73,1863307,171.48
27,Django Unchained,2012,165,8.4,81,1499691,162.81
28,The Dark Knight Rises,2012,164,8.4,78,1657115,448.14
29,Saving Private Ryan,1998,169,8.6,91,1350444,216.54
30,Once Upon a Time in America,1984,229,8.3,75,343899,5.32
31,Léon: The Professional,1994,110,8.5,64,1129341,19.5
32,Apocalypse Now,1979,147,8.5,94,652600,83.47
33,Alien,1979,117,8.5,89,856071,78.9
34,American Beauty,1999,122,8.4,84,1133671,130.1
35,The Shining,1980,146,8.4,66,988067,44.02
36,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,493583,190.24
37,The Green Mile,1999,189,8.6,61,1261091,136.8
38,The Usual Suspects,1995,106,8.5,77,1062821,23.34
39,The Prestige,2006,130,8.5,66,1296862,53.09
40,Terminator 2: Judgment Day,1991,137,8.6,75,1070775,204.84
41,12 Angry Men,1957,96,9.0,96,766380,4.36
42,The Lord of the Rings: The Return of the King,2003,201,9.0,94,1782166,377.85
43,The Lion King,1994,88,8.5,88,1027330,422.78
44,Good Will Hunting,1997,126,8.3,70,940072,138.43
45,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1254720,290.48
46,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,983360,34.4
47,Oldboy,2003,120,8.4,77,563453,0.71
48,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,1024914,309.13
49,American History X,1998,119,8.5,62,1098553,6.72
